 2THETA, PSD
  81.2575,  953
  81.3044, 1003
  81.3513, 1057
  81.3982, 1021
  81.4451, 1008
  81.4921,  939
  81.5390,  886
  81.5859,  824
  81.6328,  765
  81.6797,  657
  81.7266,  570
  81.7735,  466
  81.8204,  401
  81.8673,  379
  81.9143,  349
  81.9612,  295
  82.0081,  237
  82.0550,  232
  82.1019,  234
  82.1488,  226
  82.1957,  228
  82.2426,  199
  82.2895,  202
  82.3365,  193
  82.3834,  163
  82.4303,  166
  82.4772,  199
  82.5241,  179
  82.5710,  188
  82.6179,  172
  82.6648,  171
  82.7117,  170
  82.7587,  186
  82.8056,  155
  82.8525,  166
  82.8994,  154
  82.9463,  143
  82.9932,  162
  83.0401,  156
  83.0870,  158
  83.1339,  145
  83.1808,  137
  83.2278,  147
  83.2747,  147
  83.3216,  161
  83.3685,  136
  83.4154,  158
  83.4623,  157
  83.5092,  151
  83.5561,  147
  83.6030,  158
  83.6500,  156
  83.6969,  151
  83.7438,  164
  83.7907,  125
  83.8376,  152
  83.8845,  145
  83.9314,  139
  83.9783,  145
  84.0252,  186
  84.0722,  163
  84.1191,  152
  84.1660,  162
  84.2129,  145
  84.2598,  147
  84.3067,  165
  84.3536,  163
  84.4005,  161
  84.4474,  187
  84.4944,  166
  84.5413,  158
  84.5882,  177
  84.6351,  178
  84.6820,  178
  84.7289,  169
  84.7758,  209
  84.8227,  199
  84.8696,  209
  84.9165,  215
  84.9635,  220
  85.0104,  227
  85.0573,  230
  85.1042,  221
  85.1511,  242
  85.1980,  271
  85.2449,  260
  85.2918,  319
  85.3387,  360
  85.3857,  415
  85.4326,  406
  85.4795,  530
  85.5264,  605
  85.5733,  690
  85.6202,  806
  85.6671,  967
  85.7140, 1098
  85.7609, 1249
  85.8079, 1352
  85.8548, 1386
  85.9017, 1389
  85.9486, 1274
  85.9955, 1238
  86.0424, 1187
  86.0893,  981
  86.1362,  901
  86.1831,  893
  86.2301,  731
  86.2770,  604
  86.3239,  527
  86.3708,  440
  86.4177,  382
  86.4646,  343
  86.5115,  300
  86.5584,  282
  86.6053,  271
  86.6522,  242
  86.6992,  247
  86.7461,  207
  86.7930,  232
  86.8399,  196
  86.8868,  175
  86.9337,  197
  86.9806,  183
  87.0275,  162
  87.0744,  170
  87.1214,  170
  87.1683,  161
  87.2152,  175
  87.2621,  139
  87.3090,  167
  87.3559,  165
  87.4028,  148
  87.4497,  149
  87.4966,  149
  87.5436,  161
  87.5905,  142
  87.6374,  134
  87.6843,  144
  87.7312,  171
  87.7781,  139
  87.8250,  131
  87.8719,  165
  87.9188,  144
  87.9657,  144
  88.0127,  154
  88.0596,  154
  88.1065,  145
  88.1534,  155
  88.2003,  130
  88.2472,  148
  88.2941,  144
  88.3410,  161
  88.3879,  135
  88.4349,  165
  88.4818,  145
  88.5287,  152
  88.5756,  121
  88.6225,  133
  88.6694,  139
  88.7163,  132
  88.7632,  112
  88.8101,  146
  88.8571,  130
  88.9040,  143
  88.9509,  150
  88.9978,  170
  89.0447,  158
  89.0916,  136
  89.1385,  125
  89.1854,  125
  89.2323,  161
  89.2793,  154
  89.3262,  129
  89.3731,  154
  89.4200,  158
  89.4669,  158
  89.5138,  153
  89.5607,  157
  89.6076,  176
  89.6545,  149
  89.7014,  180
  89.7484,  131
  89.7953,  143
  89.8422,  177
  89.8891,  182
  89.9360,  180
  89.9829,  189
