 2THETA, PSD
  25.8559,  409
  25.9028,  407
  25.9497,  441
  25.9966,  453
  26.0435,  400
  26.0904,  402
  26.1373,  405
  26.1842,  415
  26.2311,  432
  26.2780,  437
  26.3250,  388
  26.3719,  388
  26.4188,  428
  26.4657,  416
  26.5126,  394
  26.5595,  449
  26.6064,  383
  26.6533,  421
  26.7002,  420
  26.7472,  400
  26.7941,  423
  26.8410,  414
  26.8879,  399
  26.9348,  446
  26.9817,  404
  27.0286,  430
  27.0755,  437
  27.1224,  452
  27.1694,  422
  27.2163,  469
  27.2632,  450
  27.3101,  448
  27.3570,  428
  27.4039,  462
  27.4508,  431
  27.4977,  428
  27.5446,  461
  27.5916,  457
  27.6385,  442
  27.6854,  457
  27.7323,  440
  27.7792,  443
  27.8261,  410
  27.8730,  422
  27.9199,  459
  27.9668,  466
  28.0137,  481
  28.0607,  446
  28.1076,  468
  28.1545,  470
  28.2014,  425
  28.2483,  381
  28.2952,  445
  28.3421,  427
  28.3890,  455
  28.4359,  454
  28.4829,  434
  28.5298,  463
  28.5767,  450
  28.6236,  445
  28.6705,  412
  28.7174,  477
  28.7643,  440
  28.8112,  447
  28.8581,  430
  28.9051,  483
  28.9520,  471
  28.9989,  481
  29.0458,  441
  29.0927,  492
  29.1396,  443
  29.1865,  453
  29.2334,  435
  29.2803,  498
  29.3272,  466
  29.3742,  463
  29.4211,  495
  29.4680,  461
  29.5149,  459
  29.5618,  477
  29.6087,  472
  29.6556,  479
  29.7025,  477
  29.7494,  482
  29.7964,  527
  29.8433,  484
  29.8902,  461
  29.9371,  519
  29.9840,  469
  30.0309,  502
  30.0778,  498
  30.1247,  535
  30.1716,  531
  30.2186,  528
  30.2655,  560
  30.3124,  576
  30.3593,  512
  30.4062,  574
  30.4531,  580
  30.5000,  570
  30.5469,  621
  30.5938,  602
  30.6408,  625
  30.6877,  607
  30.7346,  648
  30.7815,  695
  30.8284,  721
  30.8753,  766
  30.9222,  744
  30.9691,  845
  31.0160,  898
  31.0629,  938
  31.1099, 1051
  31.1568, 1100
  31.2037, 1149
  31.2506, 1211
  31.2975, 1427
  31.3444, 1561
  31.3913, 1797
  31.4382, 2091
  31.4851, 2349
  31.5321, 2802
  31.5790, 3357
  31.6259, 4299
  31.6728, 5400
  31.7197, 7075
  31.7666, 9254
  31.8135, 12940
  31.8604, 17860
  31.9073, 24551
  31.9543, 31574
  32.0012, 36375
  32.0481, 35075
  32.0950, 29148
  32.1419, 21608
  32.1888, 14779
  32.2357, 10056
  32.2826, 7107
  32.3295, 5055
  32.3765, 4007
  32.4234, 3135
  32.4703, 2486
  32.5172, 2103
  32.5641, 1781
  32.6110, 1556
  32.6579, 1368
  32.7048, 1235
  32.7517, 1123
  32.7986, 1060
  32.8456,  921
  32.8925,  867
  32.9394,  844
  32.9863,  702
  33.0332,  736
  33.0801,  676
  33.1270,  634
  33.1739,  564
  33.2208,  591
  33.2678,  600
  33.3147,  562
  33.3616,  483
  33.4085,  473
  33.4554,  450
  33.5023,  474
  33.5492,  482
  33.5961,  450
  33.6430,  428
  33.6900,  449
  33.7369,  382
  33.7838,  433
  33.8307,  391
  33.8776,  408
  33.9245,  433
  33.9714,  350
  34.0183,  357
  34.0652,  346
  34.1122,  389
  34.1591,  346
  34.2060,  360
  34.2529,  318
  34.2998,  343
  34.3467,  327
  34.3936,  337
  34.4405,  308
  34.4874,  320
  34.5343,  301
  34.5813,  342
  34.6282,  331
  34.6751,  285
  34.7220,  302
  34.7689,  345
  34.8158,  301
  34.8627,  319
  34.9096,  283
  34.9565,  303
  35.0035,  315
  35.0504,  320
  35.0973,  333
  35.1442,  299
  35.1911,  271
  35.2380,  317
  35.2849,  293
  35.3318,  295
  35.3787,  281
  35.4257,  288
  35.4726,  283
  35.5195,  288
  35.5664,  296
  35.6133,  273
  35.6602,  287
  35.7071,  264
  35.7540,  259
  35.8009,  276
  35.8479,  278
  35.8948,  274
  35.9417,  275
  35.9886,  281
  36.0355,  245
  36.0824,  264
  36.1293,  263
  36.1762,  240
  36.2231,  269
  36.2700,  249
  36.3170,  253
  36.3639,  255
  36.4108,  252
  36.4577,  258
  36.5046,  256
  36.5515,  250
  36.5984,  203
  36.6453,  251
  36.6922,  250
  36.7392,  271
  36.7861,  225
  36.8330,  269
  36.8799,  278
  36.9268,  283
  36.9737,  288
  37.0206,  277
  37.0675,  246
  37.1144,  226
  37.1614,  244
  37.2083,  244
  37.2552,  271
  37.3021,  246
  37.3490,  237
  37.3959,  261
  37.4428,  260
  37.4897,  234
  37.5366,  225
  37.5836,  252
  37.6305,  235
  37.6774,  248
  37.7243,  247
  37.7712,  220
  37.8181,  237
  37.8650,  285
  37.9119,  272
  37.9588,  270
  38.0057,  274
  38.0527,  261
  38.0996,  290
  38.1465,  261
  38.1934,  237
  38.2403,  269
  38.2872,  322
  38.3341,  284
  38.3810,  266
  38.4279,  312
  38.4749,  305
  38.5218,  317
  38.5687,  374
  38.6156,  337
  38.6625,  369
  38.7094,  374
  38.7563,  385
  38.8032,  422
  38.8501,  431
  38.8971,  483
  38.9440,  531
  38.9909,  534
  39.0378,  641
  39.0847,  737
  39.1316,  891
  39.1785, 1084
  39.2254, 1282
  39.2723, 1571
  39.3192, 2056
  39.3662, 2736
  39.4131, 3760
  39.4600, 4924
  39.5069, 6351
  39.5538, 7306
  39.6007, 7403
  39.6476, 6611
  39.6945, 5269
  39.7414, 4001
  39.7884, 2795
  39.8353, 2054
  39.8822, 1496
  39.9291, 1155
  39.9760, 1005
  40.0229,  841
  40.0698,  668
  40.1167,  584
  40.1636,  523
  40.2106,  463
  40.2575,  439
  40.3044,  427
  40.3513,  434
  40.3982,  381
  40.4451,  369
  40.4920,  348
  40.5389,  324
  40.5858,  353
  40.6328,  326
  40.6797,  336
  40.7266,  310
  40.7735,  295
  40.8204,  266
  40.8673,  318
  40.9142,  272
  40.9611,  271
  41.0080,  250
  41.0549,  278
  41.1019,  275
  41.1488,  258
  41.1957,  255
  41.2426,  280
  41.2895,  299
  41.3364,  228
  41.3833,  278
  41.4302,  246
  41.4771,  255
  41.5241,  235
  41.5710,  234
  41.6179,  245
  41.6648,  240
  41.7117,  244
  41.7586,  243
  41.8055,  261
  41.8524,  231
  41.8993,  236
  41.9463,  274
  41.9932,  241
  42.0401,  248
  42.0870,  248
  42.1339,  274
  42.1808,  219
  42.2277,  234
  42.2746,  235
  42.3215,  230
  42.3685,  230
  42.4154,  224
  42.4623,  196
  42.5092,  231
  42.5561,  231
  42.6030,  268
  42.6499,  272
  42.6968,  224
  42.7437,  250
  42.7906,  242
  42.8376,  262
  42.8845,  236
  42.9314,  264
  42.9783,  203
  43.0252,  245
  43.0721,  233
  43.1190,  249
  43.1659,  241
  43.2128,  254
  43.2598,  244
  43.3067,  225
  43.3536,  242
  43.4005,  254
  43.4474,  223
  43.4943,  235
  43.5412,  247
  43.5881,  245
  43.6350,  235
  43.6820,  275
  43.7289,  263
  43.7758,  260
  43.8227,  272
  43.8696,  256
  43.9165,  262
  43.9634,  239
  44.0103,  239
  44.0572,  243
  44.1042,  273
  44.1511,  287
  44.1980,  289
  44.2449,  292
  44.2918,  290
  44.3387,  278
  44.3856,  265
  44.4325,  274
  44.4794,  330
  44.5263,  317
  44.5733,  350
